"효능군","그룹구분","일반명코드","성분코드","성분명","제품코드","제품명","업체명","급여구분","공고번호","공고일자"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","641702530","프리노즈정_(1정)","일양약품(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","641803390","하디코정_(1정)","광동제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","641803390","하디코정_(1정)","광동제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","641803390","하디코정_(1정)","광동제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","641903430","초감콜쓰리정_(1정)","(주)보령","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","641903430","초감콜쓰리정_(1정)","(주)보령","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","641903430","초감콜쓰리정_(1정)","(주)보령","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","642303470","코판토정_(1정)","삼성제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","642303470","코판토정_(1정)","삼성제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","642303470","코판토정_(1정)","삼성제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","642802710","하벤코정_(1정)","고려제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","642802710","하벤코정_(1정)","고려제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","642802710","하벤코정_(1정)","고려제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","643507350","써스펜데이정_(1정)","한미약품(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","643507350","써스펜데이정_(1정)","한미약품(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","643507350","써스펜데이정_(1정)","한미약품(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","644001650","콜바스타에프정_(1정)","삼익제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","644001650","콜바스타에프정_(1정)","삼익제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","644001650","콜바스타에프정_(1정)","삼익제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","644801750","코애드에프정_(1정)","태극제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","644801750","코애드에프정_(1정)","태극제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","644904650","화콜노즈정_(1정)","제이더블유중외제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","644904650","화콜노즈정_(1정)","제이더블유중외제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","644904650","화콜노즈정_(1정)","제이더블유중외제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","645204010","오메코정_(1정)","에이프로젠제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","645204010","오메코정_(1정)","에이프로젠제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","645204010","오메코정_(1정)","에이프로젠제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","645601180","시노피드플러스정_(1정)","대화제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","645601180","시노피드플러스정_(1정)","대화제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","645601180","시노피드플러스정_(1정)","대화제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","645802610","코크린정_(1정)","한솔신약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","645802610","코크린정_(1정)","한솔신약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","645802610","코크린정_(1정)","한솔신약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","647202010","올코엔정_(1정)","한국코러스(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","647202010","올코엔정_(1정)","한국코러스(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","647202010","올코엔정_(1정)","한국코러스(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","647801660","에코리자정_(1정)","삼진제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","647801660","에코리자정_(1정)","삼진제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","647801660","에코리자정_(1정)","삼진제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","648600200","디펜코정_(1정)","(주)씨엠지제약","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","648600200","디펜코정_(1정)","(주)씨엠지제약","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","648600200","디펜코정_(1정)","(주)씨엠지제약","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","649800670","메가코정_(1정)","명문제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","649800670","메가코정_(1정)","명문제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","649800670","메가코정_(1정)","명문제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","654200370","데이노즈정_(1정)","알파제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","654200370","데이노즈정_(1정)","알파제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","654200370","데이노즈정_(1정)","알파제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","654300460","도브콜정_(1정)","오스틴제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","654300460","도브콜정_(1정)","오스틴제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","654300460","도브콜정_(1정)","오스틴제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","656000390","모아코정_(1정)","알리코제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","644801750","코애드에프정_(1정)","태극제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","656000390","모아코정_(1정)","알리코제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","656000390","모아코정_(1정)","알리코제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","656204940","트레코정_(1정)","(주)바스칸바이오제약","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","656204940","트레코정_(1정)","(주)바스칸바이오제약","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","656204940","트레코정_(1정)","(주)바스칸바이오제약","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","657500200","데이감에스정_(1정)","미래바이오제약㈜","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","657500200","데이감에스정_(1정)","미래바이오제약㈜","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","657500200","데이감에스정_(1정)","미래바이오제약㈜","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","664100400","러지코정_(1정)","동인당제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","664100400","러지코정_(1정)","동인당제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","664100400","러지코정_(1정)","동인당제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","679600290","콜드큐정_(1정)","(주)서흥","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","679600290","콜드큐정_(1정)","(주)서흥","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","679600290","콜드큐정_(1정)","(주)서흥","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A06500ATB","696600510","코프엔드정_(1정)","일양바이오팜(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A06500ATB","696600510","코프엔드정_(1정)","일양바이오팜(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A06500ATB","696600510","코프엔드정_(1정)","일양바이오팜(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A16800ASY","051600241","테라플루데이타임건조시럽_(1포)","(주)글락소스미스클라인컨슈머헬스케어코리아","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A18700ACS","649804450","하드콜연질캡슐_(1캡슐)","명문제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A18700ACS","649804450","하드콜연질캡슐_(1캡슐)","명문제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A18700ACS","649804450","하드콜연질캡슐_(1캡슐)","명문제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A18800ATB","621800450","아루진정_(1정)","(주)한국파비스제약","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A18800ATB","644500600","오로친에스정_(1정)","(주)유유제약","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A18800ATB","664101550","파이에온정_(1정)","동인당제약(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A18900ATB","621800810","캐치코프정_(1정)","(주)한국파비스제약","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A18900ATB","621800810","캐치코프정_(1정)","(주)한국파비스제약","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A18900ATB","643501490","써스펜나이트정_(1정)","한미약품(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A18900ATB","643501490","써스펜나이트정_(1정)","한미약품(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A19000ACS","643703480","고프레노즈연질캡슐_(1캡슐)","국제약품(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A19000ACS","643703480","고프레노즈연질캡슐_(1캡슐)","국제약품(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A19000ACS","643703480","고프레노즈연질캡슐_(1캡슐)","국제약품(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A19000ACS","661600020","그린콜연질캡슐_(1캡슐)","(주)알피바이오","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A19000ACS","661600020","그린콜연질캡슐_(1캡슐)","(주)알피바이오","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A19000ACS","661600020","그린콜연질캡슐_(1캡슐)","(주)알피바이오","비급여","20170079","2017-02-16"
"호흡기관용약","Group 2","222B0002","pseudoephedrine","A19000ACS","684500720","코페민연질캡슐_(1캡슐)","화일약품(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A19000ACS","684500720","코페민연질캡슐_(1캡슐)","화일약품(주)","비급여","20170079","2017-02-16"
"호흡기관용약","Group 1","222A0001","chlorpheniramine","A19000ACS","684500720","코페민연질캡슐_(1캡슐)","화일약품(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 1","114A0019","ibuprofen","A20000ATB","648102600","그날엔정_(1정)","경동제약(주)","비급여","20170079","2017-02-16"
"해열진통소염제","Group 2","114B0001","acetaminophen","A20200ATB","643200420","멘자펜정_(1정)","동성제약(주)","비급여","20170079","2017-02-16"
