product_code,product_name,comp,cancel,appr_date,std_code,atc,ing_en,e_code,raw_material,appr_type,atc_1,atc_2,atc_3,atc_4
201700839,가네타인액,동성제약(주),정상,2017-02-16,"8806432029303,8806432029310,8806432029327,8806432029334",A05BA,L-Arginine/Betaine/Betaine Hydrochloride/Citric Acid Hydrate,201700839.0,완제의약품,신고,A,A05,A05B,A05BA
200808096,가네탑골드연질캡슐,일양약품(주),정상,2008-07-24,"8806417045205,8806431032502,8806417045212",A05BA,Milk-Thistle Fruit Dried Extract/Thiamine Nitrate/Pyridoxine Hydrochloride/Nicotinamide/Calcium Pantothenate/Cyanocobalamin,200808096.0,완제의약품,신고,A,A05,A05B,A05BA
202102087,가네톡액,제이더블유중외제약(주),정상,2021-03-05,"8806449149100,8806449149117,8806449149124,8806449149131,8806449149148",A05BA,L-Arginine/Betaine/Betaine Hydrochloride/Citric Acid Hydrate,202102087.0,완제의약품,신고,A,A05,A05B,A05BA
202303237,가넥트액,동아제약(주),정상,2023-11-29,"8806265019502,8806265019519",A11JC,Benfotiamine/Riboflavin Sodium Phosphate/Pyridoxine Hydrochloride/Nicotinamide/Ursodeoxycholic Acid/Betaine Hydrochloride,,완제의약품,신고,A,A11,A11J,A11JC
200308596,가두벌크림,삼익제약(주),정상,2003-07-04,"8806440000103,8806440000110",D04A,Diphenhydramine/L-Menthol/Dibucaine Hydrochloride/DL-Camphor/Enoxolone,200308596.0,완제의약품,신고,D,D04,D04A,D04A
201507261,"가딘정75밀리그램

(라니티딘염산염)",유니메드제약(주),정상,2015-10-20,"8806495069605,8806495069612",A02BA02,Ranitidine Hydrochloride,201507261.0,완제의약품,신고,A,A02,A02B,A02BA
199902902,가레오액(디히드록시디부틸에테르),조아제약(주),정상,1999-02-05,"8806446000206,8806446000213,8806446000220,8806446000237,8806446000244,8806446000251,8806446000268,8806446000275,8806446000282,8806446000299,8806446037219,8806446037226",A05AX,Dihydroxydibutyl Ether,199902902.0,완제의약품,신고,A,A05,A05A,A05AX
198802329,가레오연질캡슐(디히드록시디부틸에테르),조아제약(주),정상,1988-07-11,"8806446000305,8806446000312,8806446000329,8806446000336",A05AX,Dihydroxydibutyl Ether,198802329.0,완제의약품,신고,A,A05,A05A,A05AX
198802326,가레오연질캡슐500밀리그램(디히드록시디부틸에테르),조아제약(주),정상,1988-07-11,"8806446000404,8806446000411,8806446000428,8806446000435,8806446000442",A05AX,Dihydroxydibutyl Ether,198802326.0,완제의약품,신고,A,A05,A05A,A05AX
198601346,"가소콜액(시메티콘)(군납용 : 시메티콘현탁액500밀리리터, SimethiconeOralSuspension500ml)",(주)태준제약,정상,1986-11-19,"8806501000202,8806501000219,8806501000226,8806501000233,8806501000240,8806501000257,8806501000264",A03AX13,Simethicone,198601346.0,완제의약품,신고,A,A03,A03A,A03AX
201908292,가스부틴정100mg(트리메부틴말레산염),주식회사케이에스제약,정상,2019-12-09,"8800590000105,8800590000112,8800590000129,8800590000136",A03AA05,Trimebutine Maleate,201908292.0,완제의약품,신고,A,A03,A03A,A03AA
202302463,가스앤드액(시메티콘),유니메드제약(주),정상,2023-08-18,"8806495084011,8806495084028,8806495084004",A03AX13,Simethicone,,완제의약품,신고,A,A03,A03A,A03AX
201604859,가스제로구강필름(시메치콘),(주)씨엘팜,정상,2016-08-09,"8806226003502,8806226003519,8806226003526,8806226003533,8806226003540,8806226003557",A03AX13,Simethicone,201604859.0,완제의약품,허가,A,A03,A03A,A03AX
201801490,가스콘액(시메티콘),(주)텔콘알에프제약,정상,2018-04-04,"8806255005812,8806255005829,8806255005805",A03AX13,Simethicone,,완제의약품,신고,A,A03,A03A,A03AX
201501890,가스큐액(시메티콘),주식회사제뉴원사이언스,정상,2015-04-08,"8806717046308,8806717046315,8806717046322,8806717046339,8806717046346,8806717046353,8806717046360",A03AX13,Simethicone,201501890.0,완제의약품,신고,A,A03,A03A,A03AX
201400237,가스트로겔현탁액(수출용),(주)테라젠이텍스,정상,2014-01-20,"8806985026309,8806985026316",A02AX,Dried Aluminium Hydroxide Gel/Magnesium Hydroxide/Oxethazaine,,완제의약품,신고,A,A02,A02A,A02AX
201800788,간프로액(L-아스파르트산-L-오르니틴),(주)유유제약,정상,2018-02-09,"8806445025415,8806445025422,8806445025408,8806445025439",A05BA06,L-Ornithine-L-Aspartate,201800788.0,완제의약품,신고,A,A05,A05B,A05BA
200904336,갈마겔현탁액(알마게이트),주식회사제뉴원사이언스,정상,2009-06-22,"8806717027505,8806717027512,8806717027529",A02AD03,Almagate,,완제의약품,신고,A,A02,A02A,A02AD
197600614,갈타제산(베타-갈락토시다제(아스퍼길루스)),현대약품(주),정상,1976-12-04,"8806420000109,8806420000116,8806420000123,8806420000130,8806420000147,8806420000154",A09AA04,Beta-Galactosidase (Aspergillus),197600614.0,완제의약품,허가,A,A09,A09A,A09AA
202401444,갈해담액,제일헬스사이언스(주),정상,2024-06-13,"8800543013404,8800543013411,8800543013428",R05F,Ephedra Herb/Ginseng/Polygala Root/Platycodon Root/Guaifenesin,,완제의약품,신고,R,R05,R05F,R05F
200702008,감마린디액,태극제약(주),정상,2007-02-15,"8806448000600,8806448000617",P03AC51,Pyrethrin Extract/Piperonyl Butoxide,200702008.0,완제의약품,신고,P,P03,P03A,P03AC
201500053,감마마그빅연질캡슐,알파제약(주),정상,2015-01-07,"8806542021808,8806542021815",A11JC,Gamma-Oryzanol/Pyridoxine Hydrochloride/Thiamine Nitrate/Magnesium Oxide/Tocopherol Acetate,201500053.0,완제의약품,신고,A,A11,A11J,A11JC
199000210,감막트연질캡슐(수출용),(주)유유제약,정상,1990-06-29,8806445000207,A11JB,Selenium In Dried Yeast/Tocopherol Acetate/Retinol Palmitate/Ascorbic Acid,,완제의약품,신고,A,A11,A11J,A11JB
200004479,감바로과립,한솔신약(주),정상,2000-09-07,"8806458000102,8806458000119,8806458000126,8806458000140",R05X,Pueraria Root/Ephedra Herb/Jujube/Cinnamon Bark/Peony Root/Licorice/Ginger/Ethenzamide/Chlorpheniramine Maleate/Noscapine/Anhydrous Caffeine,200004479.0,완제의약품,신고,R,R05,R05X,R05X
200810939,감콜데이나이트정(수출용),(주)마더스제약,정상,2008-11-11,"8806228000202,8806552015903,8806228000219,8806552015910",N02BE51,Pseudoephedrine Hydrochloride/Acetaminophen/Phenylephrine Hydrochloride/Chlorpheniramine Maleate,,완제의약품,신고,N,N02,N02B,N02BE
200604208,감콜캡슐(수출용),(주)마더스제약,정상,2006-05-19,"8806228001506,8806552000107,8806228001513,8806552000114,8806228001520,8806552000121",R05X,Anhydrous Caffeine/Thiamine Nitrate/Magnesium Aluminometasilicate/Chlorpheniramine Maleate/Acetaminophen/DL-Methylephedrine Hydrochloride/Dextromethorphan Hydrobromide Hydrate/Platycodon Root Extract Powder (10→1)/Glycyrrhiza Extract Powder (5→1),,완제의약품,신고,R,R05,R05X,R05X
200801645,개비스콘더블액션현탁액,(유)옥시레킷벤키저,정상,2008-02-11,"8806406000802,8806406000819,8806406000826,8806406000833,8806406000840",A02BX,Sodium Alginate/Calcium Carbonate/Sodium Bicarbonate,200801645.0,완제의약품,허가,A,A02,A02B,A02BX
200606295,개비스콘페퍼민트현탁액,(유)옥시레킷벤키저,정상,2006-07-07,"8806406000208,8806406000215,8806406000222,8806406000239,8806406000246",A02BX,Sodium Alginate/Sodium Bicarbonate/Calcium Carbonate,200606295.0,완제의약품,신고,A,A02,A02B,A02BX
200200228,개비콘큐츄어블정(수출용),(주)유유제약,정상,2002-11-21,8806445000504,A02AG,Dried Aluminium Hydroxide Gel/Magnesium Silicate/Scopolia Extract,,완제의약품,신고,A,A02,A02A,A02AG
200500268,거글스프레이(포비돈요오드),동아제약(주),정상,2005-12-23,"8806265001507,8806425000401,8806265001521,8806425000418,8806265001514,8806425000425",R02AA15,Povidone Iodine,200500268.0,완제의약품,신고,R,R02,R02A,R02AA
201700245,건아이점안액(폴리소르베이트80)(1회용),유니메드제약(주),정상,2017-01-11,"8806495073411,8806495073404,8806495073428",S01XA20,Polysorbate 80,201700245.0,완제의약품,신고,S,S01,S01X,S01XA
197000208,건위황정,(주)넥스팜코리아,정상,1970-06-15,"8806625000201,8806625000218,8806625000225",A02AX,Sodium Bicarbonate/Phellodendron Bark Powder,197000208.0,완제의약품,신고,A,A02,A02A,A02AX
202302051,건일이부프로펜연질캡슐400밀리그램,건일제약(주),정상,2023-07-04,"8806468032209,8806468032216",M01AE01,Ibuprofen,,완제의약품,신고,M,M01,M01A,M01AE
199501099,게루삼엠정(건조수산화알루미늄겔),삼남제약(주),정상,1995-04-24,"8806537003802,8806537003819,8806537003826,8806537003833,8806537003840,8806537003857,8806537003864",A02AB01,Dried Aluminium Hydroxide Gel,199501099.0,완제의약품,신고,A,A02,A02A,A02AB
196400046,게루삼정,삼남제약(주),정상,1964-04-24,"8806537000603,8806537000610,8806537000627",A02AH,Dried Aluminium Hydroxide Gel/Precipitated Calcium Carbonate/Magnesium Carbonate/Sodium Bicarbonate,196400046.0,완제의약품,신고,A,A02,A02A,A02AH
199806929,게리동정(수출용),(주)넥스팜코리아,정상,1966-10-06,"8806625000300,8806625000317,8806625000324,8806625000331",R05X,Acetaminophen/Ethenzamide/Anhydrous Caffeine/Chlorpheniramine Maleate,,완제의약품,신고,R,R05,R05X,R05X
198902076,게리틴연질캡슐(수출용),조아제약(주),정상,1989-03-06,"8806446000701,8806446000718,8806446000725,8806446000732",A13A,Mistletoe Extract/Hawthorn Extract/Allium Sativum Extract/Thiamine Nitrate/Tocopherol Acetate,,완제의약품,신고,A,A13,A13A,A13A
202007294,게보린릴랙스연질캡슐,삼진제약(주),정상,2020-10-23,"8806478050705,8806478050712",M01AE51,Ibuprofen/Magnesium Oxide,202007294.0,완제의약품,신고,M,M01,M01A,M01AE
202107495,게보린브이정(아세트아미노펜),삼진제약(주),정상,2021-11-16,"8806478053300,8806478053317",N02BE01,Acetaminophen,202107495.0,완제의약품,신고,N,N02,N02B,N02BE
201908295,게보린소프트연질캡슐,삼진제약(주),정상,2019-12-09,"8806478049402,8806478049419",M01AE51,Ibuprofen/Pamabrom,201908295.0,완제의약품,신고,M,M01,M01A,M01AE
201111097,게보린에스정(수출용),삼진제약(주),정상,2011-12-22,8806478036808,N02BE51,Acetaminophen/Anhydrous Caffeine/Ascorbic Acid Coated,,완제의약품,신고,N,N02,N02B,N02BE
201200252,게보린에프정(수출용),삼진제약(주),정상,2012-01-10,8806478036907,M01AE51,Ibuprofen/Thiamine Nitrate Powder 33.3%/Riboflavin Powder 33.3%,,완제의약품,신고,M,M01,M01A,M01AE
197900277,게보린정(수출명:돌로린정),삼진제약(주),정상,1979-03-15,"8806478000403,8806478000410,8806478000427",N02BE51,Acetaminophen/Anhydrous Caffeine/Isopropylantipyrine,197900277.0,완제의약품,신고,N,N02,N02B,N02BE
202401286,게보핏맥스플라스타(플루르비프로펜),삼진제약(주),정상,2024-05-24,"8806478057728,8806478057711,8806478057704",M02AA19,Flurbiprofen,202401286.0,완제의약품,신고,M,M02,M02A,M02AA
202400559,게보핏스트롱카타플라스마(디클로페낙나트륨),삼진제약(주),정상,2024-03-18,"8806478057407,8806478057414",M02AA15,Diclofenac Sodium,202400559.0,완제의약품,신고,M,M02,M02A,M02AA
201708500,게보핏파워플라스타(디클로페낙나트륨),삼진제약(주),정상,2017-12-21,"8806798016108,8806478056615,8806798016115,8806478056646,8806798016122,8806478056622,8806798016146,8806478056639,8806798016139,8806478056714,8806798019611,8806478056721,8806798019628,8806478056738,8806798019635,8806478056745,8806798019642,8806478056813,8806798019604,8806478056820,8806798021317,8806478056608,8806798021324,8806478056707,8806798021300,8806478056806",M02AA15,Diclofenac Sodium,201708500.0,완제의약품,신고,M,M02,M02A,M02AA
201310271,게이트정(알마게이트),오스틴제약(주),정상,2013-11-25,"8806543048316,8806543048309",A02AD03,Almagate,201310271.0,완제의약품,신고,A,A02,A02A,A02AD
201400916,겔비스톤현탁액,(주)텔콘알에프제약,정상,2014-02-28,"8806255000206,8806255000213,8806255000220,8806255000237,8806255000244,8806255000251,8806255000268,8806255000275,8806255000282,8806255000299,8806255000718,8806255000725,8806255000732,8806255000749,8806255000756,8806255000763,8806255000770",A02BX,Sodium Alginate/Sodium Bicarbonate/Precipitated Calcium Carbonate,201400916.0,완제의약품,신고,A,A02,A02B,A02BX
201201680,겔티-포르테연질캡슐,영풍제약(주),정상,2012-03-16,"8806619040503,8806619040510,8806619040527",A11AB,Retinol Palmitate/Ergocalciferol/Thiamine Hydrochloride/Riboflavin/Pyridoxine Hydrochloride/Cyanocobalamin/Ascorbic Acid/Tocopherol Acetate/Nicotinamide/Calcium Pantothenate/Choline Tartrate/Inositol/Folic Acid/Gamma-Oryzanol,201201680.0,완제의약품,신고,A,A11,A11A,A11AB
201708580,겔포스엘현탁액,(주)보령,정상,2017-12-27,"8806419066819,8806419066826,8806419066802,8806419066833",A02AX,Aluminium Phosphate Gel/Magnesium Hydroxide/Simethicone/DL-Carnitine Hydrochloride,201708580.0,완제의약품,신고,A,A02,A02A,A02AX
199400883,겔포스엠현탁액,(주)보령,정상,1994-07-01,"8806419000400,8806419000417,8806419000424,8806419000431,8806419000448,8806419000455,8806419000462,8806419000479,8806419000486",A02AF02,Aluminium Phosphate Gel/Magnesium Hydroxide/Simethicone,199400883.0,완제의약품,신고,A,A02,A02A,A02AF
197400207,겔포스현탁액(인산알루미늄겔),(주)보령,정상,1974-03-15,"8806419000103,8806419000110,8806419000127,8806419000134,8806419000141,8806419000158,8806419000165,8806419000172,8806419000189,8806419000196,8806419000219,8806419000226,8806419000233,8806419000240,8806419000257,8806419000271,8806419000288,8806419000295",A02AB03,Aluminium Phosphate Gel/Colloidal Aluminium Phosphate,197400207.0,완제의약품,신고,A,A02,A02A,A02AB
199702146,겟투겔(케토프로펜),한국넬슨제약(주),정상,1997-07-05,"8806567000208,8806567000215,8806567000222",M02AA10,Ketoprofen,199702146.0,완제의약품,신고,M,M02,M02A,M02AA
200501415,경남그린웰연질캡슐,경남제약(주),정상,2005-11-21,"8806476000207,8806476000214,8806476000221,8806476000238,8806476000245",A11JC,Tocopherol Acetate/Ascorbic Acid/Beta-Carotene Suspension 30%/Ubidecarenone/Thiamine Nitrate/Riboflavin/Pyridoxine Hydrochloride/Zinc Oxide/Selenium Powder 0.1%,200501415.0,완제의약품,신고,A,A11,A11J,A11JC
201003546,"경남글루코사민캡슐500mg
(결정글루코사민황산염)(수출용)(수출명: Teoramin500capsule)",경남제약(주),정상,2010-05-17,8806476029901,M01AX05,Crystallized Glucosamine Sulfate,,완제의약품,신고,M,M01,M01A,M01AX
201403474,경남나프록센연질캡슐,경남제약(주),정상,2014-07-29,"8806476032703,8806476032710",M01AE02,Naproxen,201403474.0,완제의약품,신고,M,M01,M01A,M01AE
201307766,경남데일리디츄어블정,경남제약(주),정상,2013-06-20,"8806476031904,8806476031911",A11CC55,Cholecalciferol Granules/Ubidecarenone,201307766.0,완제의약품,신고,A,A11,A11C,A11CC
200904353,경남비타민씨정,경남제약(주),정상,2009-06-22,"8806476017502,8806476017519,8806476017526,8806476017533,8806476017540,8806476017557,8806476017564,8806476017571",A11GA01,Ascorbic Acid Granules 97%,200904353.0,완제의약품,신고,A,A11,A11G,A11GA
200612402,경남아시클로버크림(아시클로버),경남제약(주),정상,2006-12-18,"8806476000900,8806476000917",D06BB03,Acyclovir,200612402.0,완제의약품,신고,D,D06,D06B,D06BB
202400850,경남티어앤톡모이스처점안액1.0%(카르복시메틸셀룰로오스나트륨)(1회용),경남제약(주),정상,2024-04-16,"8806476039405,8806476039412,8806476039429",S01XA20,Carboxymethylcellulose Sodium,,완제의약품,신고,S,S01,S01X,S01XA
201906917,경남티어앤톡점안액(트레할로스수화물)(1회용),경남제약(주),정상,2019-09-30,"8806476036206,8806476036220,8806476036213,8806476036237,8806476038316,8806476038323,8806476038330,8806476038309",S01XA20,Trehalose Hydrate,201906917.0,완제의약품,신고,S,S01,S01X,S01XA
197600432,경동아세트아미노펜정(수출용),경동제약(주),정상,1976-06-17,"8806481001107,8806481001114,8806481001121,8806481001138,8806481001145,8806481001152",N02BE01,Acetaminophen,,완제의약품,신고,N,N02,N02B,N02BE
201309112,경동아스피린장용정,경동제약(주),정상,2013-08-30,"8806481033207,8806481033221,8806481033214",B01AC06,Aspirin,201309112.0,완제의약품,신고,B,B01,B01A,B01AC
202106054,경동파니틴정10밀리그램(파모티딘),경동제약(주),정상,2021-08-19,"8806481048706,8806481048713",A02BA03,Famotidine,202106054.0,완제의약품,신고,A,A02,A02B,A02BA
202107682,경동판테놀연고(덱스판테놀),경동제약(주),정상,2021-11-30,"8806481047310,8806481047303",D03AX03,Dexpanthenol,202107682.0,완제의약품,신고,D,D03,D03A,D03AX
201206820,경보아스피린장용정,(주)경보제약,정상,2012-09-17,"8806650016505,8806650016512,8806650016529,8806650016536",B01AC06,Aspirin,201206820.0,완제의약품,신고,B,B01,B01A,B01AC
201801425,계안겔(수출용),동아제약(주),정상,2018-03-30,"8806265011810,8806265011803",D04A,Diphenhydramine/Dibucaine Hydrochloride/Crotamiton/L-Menthol/DL-Camphor/Enoxolone,201801425.0,완제의약품,신고,D,D04,D04A,D04A
200600411,고가이큐캡슐(수출명:gogaiQCapsules),(주)서흥,정상,2006-04-24,"8806796000208,8806796000215",B03AE01,Polysaccharide Iron Complex/Cyanocobalamin Powder 0.1%/Folic Acid,200600411.0,완제의약품,신고,B,B03,B03A,B03AE
200202997,고닐고포르테경고제,유니메드제약(주),정상,2002-04-22,"8806495001001,8806495001018",D11AF,Salicylic Acid/Lactic Acid,200202997.0,완제의약품,신고,D,D11,D11A,D11AF
199101745,고려아시클로버크림(아시클로버)(수출명:바이락스크림(VIRAXCream)이노바이락스5%크림(INNOVIRAX5%Cream),고려제약(주),정상,1991-05-09,"8806428001108,8806428001115,8806428001122",D06BB03,Acyclovir,199101745.0,완제의약품,신고,D,D06,D06B,D06BB
201205043,고운자임맘정,(주)종근당,정상,2012-05-24,"8806433063405,8806433063412,8806433063429",A11AA01,Ubidecarenone/Cholecalciferol Concentrate Powder/Tocopherol Acetate Powder 50%/Ascorbic Acid Coated/Folic Acid/Riboflavin/Thiamine Nitrate/Nicotinamide/Pyridoxine Hydrochloride/Cyanocobalamin 1%/Biotin/Calcium Pantothenate/Ferrous Fumarate/Cupric Oxide/Zinc Oxide/Manganese Sulfate Hydrate/Magnesium Oxide,201205043.0,완제의약품,신고,A,A11,A11A,A11AA
201306109,고칼디정,대화제약(주),정상,2013-03-08,"8806456042104,8806456042111,8806456042128",A12AX,Calcium Carbonate/Cholecalciferol Concentrate Powder,201306109.0,완제의약품,신고,A,A12,A12A,A12AX
201305956,골드본드안티이치크림(수출용),태극제약(주),정상,2013-02-28,"8806448047100,8806448047117",D04AA,L-Menthol/Pramoxine Hydrochloride,,완제의약품,허가,D,D04,D04A,D04AA
200802314,골드타민연질캡슐,(주)서흥,정상,2008-02-28,"8806796004008,8806796004015",A11JC,Tocopherol Acetate/Ascorbic Acid/Beta-Carotene Suspension 30%/Ubidecarenone/Zinc Oxide/Selenium Powder 0.1%,200802314.0,완제의약품,신고,A,A11,A11J,A11JC
199902612,골사민캡슐(결정글루코사민황산염)(수출명 : NEOCOMIN),신일제약(주),정상,1999-08-11,"8806538000305,8806538000312,8806538000329,8806538000336,8806538000343,8806538000350,8806538000367,8806538000374,8806538000381",M01AX05,Crystallized Glucosamine Sulfate,199902612.0,완제의약품,신고,M,M01,M01A,M01AX
201507097,광동네모파스카타플라스마,광동제약(주),정상,2015-10-12,"8806418060504,8806418060511",M02AC,Glycol Salicylate/L-Menthol/Tocopherol Acetate/Phellodendron Bark Soft Extract (3.3→1),201507097.0,완제의약품,신고,M,M02,M02A,M02AC
200402786,광동동의한방고카타플라스마,광동제약(주),정상,2004-04-19,"8806418001804,8806418001811",M02AC,Phellodendron Bark Soft Extract (3.3→1)/Gardenia Fruit Soft Extract (3.0→1)/Zanthoxylum Peel 30% Ethanol Soft Extract (3.3→1)/Glycol Salicylate/L-Menthol/D-Camphor/Glycyrrhizic Acid/Tocopherol Acetate,200402786.0,완제의약품,신고,M,M02,M02A,M02AC
201503562,광동리버샷액,광동제약(주),정상,2015-06-02,"8806418060306,8806418060313",A13A,Liver Hydrolysate (4→1)/Ursodeoxycholic Acid/Riboflavin Sodium Phosphate,201503562.0,완제의약품,허가,A,A13,A13A,A13A
201600289,광동리버샷정,광동제약(주),정상,2016-01-15,"8806418062003,8806418062010,8806418062027",A13A,Liver Hydrolysate (4→1)/Ursodeoxycholic Acid/Riboflavin,201600289.0,완제의약품,허가,A,A13,A13A,A13A
202004494,광동리버샷정300(수출용),광동제약(주),정상,2020-06-19,"8806418069408,8806418069415",A13A,Liver Hydrolysate (4→1)/Ursodeoxycholic Acid/Riboflavin,,완제의약품,허가,A,A13,A13A,A13A
201802148,광동만수고골드플라스타,광동제약(주),정상,2018-05-23,"8806418066209,8806418066216,8806418066223,8806418066315,8806418066322,8806418066308",M02AC,Glycol Salicylate/L-Menthol/DL-Camphor/Tocopherol Acetate/Phellodendron Bark Soft Extract (3.3→1)/Gardenia Fruit Soft Extract (3.0→1),201802148.0,완제의약품,신고,M,M02,M02A,M02AC
201701095,광동벤포파워액,광동제약(주),정상,2017-02-28,"8806418062805,8806418062812",A11EX,Benfotiamine/Nicotinamide/Pyridoxine Hydrochloride/Riboflavin/Zinc Oxide/Ursodeoxycholic Acid,201701095.0,완제의약품,신고,A,A11,A11E,A11EX
201903344,광동벤포파워제트액,광동제약(주),정상,2019-05-23,"8806418067503,8806418067510",A11EX,Benfotiamine/Nicotinamide/Pyridoxine Hydrochloride/Riboflavin/Zinc Oxide/Ursodeoxycholic Acid,201903344.0,완제의약품,신고,A,A11,A11E,A11EX
201005179,광동비타민A유연질캡슐20만아이유(수출용),광동제약(주),정상,2010-08-27,8806418050000,A11CA,Vitamin A Oil,,완제의약품,신고,A,A11,A11C,A11CA
201005178,광동비타민A유연질캡슐(수출용),광동제약(주),정상,2010-08-27,8806418049905,A11CA,Vitamin A Oil,,완제의약품,신고,A,A11,A11C,A11CA
201702015,광동아스피린장용정100mg,광동제약(주),정상,2017-04-20,"8806418062928,8806418062911,8806418062904",B01AC06,Aspirin,201702015.0,완제의약품,신고,B,B01,B01A,B01AC
201907347,광동알디액,광동제약(주),정상,2019-10-18,"8806418068203,8806418068210",A11EX,Riboflavin/Nicotinamide/Pyridoxine Hydrochloride/Tocopherol Acetate/Thiamine Nitrate/Dexpanthenol/Royal Jelly,201907347.0,완제의약품,신고,A,A11,A11E,A11EX
201002981,광동알벤다졸정(수출용),광동제약(주),정상,2010-04-21,8806418048908,P02CA03,Albendazole,,완제의약품,신고,P,P02,P02C,P02CA
202201218,광동에너릭정,광동제약(주),정상,2022-03-28,"8806418071302,8806418071319",A13A,Anhydrous Caffeine/Thiamine Nitrate/Pyridoxine Hydrochloride/Cyanocobalamin,202201218.0,완제의약품,허가,A,A13,A13A,A13A
202204148,광동치올페이스트(히노키티올),광동제약(주),정상,2022-11-18,"8806418072200,8806418072217,8806418072712,8806418072705,8806418073313,8806418073306",A01AD,Hinokitiol,,완제의약품,허가,A,A01,A01A,A01AD
200608182,광동큐디액,광동제약(주),정상,2006-07-07,"8806418008209,8806418008216",A11JC,Riboflavin Sodium Phosphate/Nicotinamide/Pyridoxine Hydrochloride/Tocopherol Acetate/Ubidecarenone/Royal Jelly,200608182.0,완제의약품,신고,A,A11,A11J,A11JC
201404328,광동탕에이액,광동제약(주),정상,2014-09-23,"8806418057603,8806418057610,8806418059713,8806418059706",N02BG,Licorice/Ginger/Cinnamon Bark/Jujube/Peony Root/Acetaminophen,201404328.0,완제의약품,신고,N,N02,N02B,N02BG
201908635,광동탕엠액,광동제약(주),정상,2019-12-26,"8806418068609,8806418068616",R05X,Licorice/Cinnamon Bark/Apricot Kernel/Ephedra Herb/Acetaminophen,201908635.0,완제의약품,신고,R,R05,R05X,R05X
200908059,광동파워센액(시트룰린말산염),광동제약(주),정상,2009-11-13,"8806418047109,8806418047116",A16AA,Citrulline Malate,200908059.0,완제의약품,신고,A,A16,A16A,A16AA
